D,supply,osm_coeff,no_saturation,fast_pseudo,Keq_1,Keq_2,K_1,K_2,id
1e-06,6.96397402962431e-07,0,0,0,10,10,1,1,87
1e-06,7.31620244583698e-07,0,0,0,10,10,1,1,88
1e-06,7.68624610039775e-07,0,0,0,10,10,1,1,89
1e-06,8.07500606404022e-07,0,0,0,10,10,1,1,90
1e-06,8.48342898244073e-07,0,0,0,10,10,1,1,91
1e-06,8.91250938133746e-07,0,0,0,10,10,1,1,92
1e-06,9.36329208823942e-07,0,0,0,10,10,1,1,93
1e-06,9.83687477662216e-07,0,0,0,10,10,1,1,94
1e-06,1.03344106388056e-06,0,0,0,10,10,1,1,95
1e-06,1.0857111194022e-06,0,0,0,10,10,1,1,96
1e-06,1.14062492385132e-06,0,0,0,10,10,1,1,97
1e-06,1.19831619448383e-06,0,0,0,10,10,1,1,98
1e-06,1.25892541179417e-06,0,0,0,10,10,1,1,99
1e-06,1.32260016159074e-06,0,0,0,10,10,1,1,100
1e-06,1.38949549437314e-06,0,0,0,10,10,1,1,101
1e-06,1.45977430288617e-06,0,0,0,10,10,1,1,102
1e-06,1.53360771877001e-06,0,0,0,10,10,1,1,103
1e-06,1.61117552927246e-06,0,0,0,10,10,1,1,104
1e-06,1.69266661503788e-06,0,0,0,10,10,1,1,105
1e-06,1.77827941003892e-06,0,0,0,10,10,1,1,106
1e-06,1.86822238477104e-06,0,0,0,10,10,1,1,107
1e-06,1.96271455388621e-06,0,0,0,10,10,1,1,108
1e-06,2.06198600950222e-06,0,0,0,10,10,1,1,109
1e-06,2.16627848148589e-06,0,0,0,10,10,1,1,110
1e-06,2.27584592607479e-06,0,0,0,10,10,1,1,111
1e-06,2.39095514427051e-06,0,0,0,10,10,1,1,112
1e-06,2.51188643150958e-06,0,0,0,10,10,1,1,113
1e-06,2.63893426019374e-06,0,0,0,10,10,1,1,114
1e-06,2.77240799674178e-06,0,0,0,10,10,1,1,115
1e-06,2.91263265490874e-06,0,0,0,10,10,1,1,116
1e-06,3.0599496872072e-06,0,0,0,10,10,1,1,117
1e-06,3.21471781635738e-06,0,0,0,10,10,1,1,118
1e-06,3.37731390879101e-06,0,0,0,10,10,1,1,119
1e-06,3.54813389233575e-06,0,0,0,10,10,1,1,120
1e-06,3.72759372031494e-06,0,0,0,10,10,1,1,121
1e-06,3.91613038441012e-06,0,0,0,10,10,1,1,122
1e-06,4.11420297875284e-06,0,0,0,10,10,1,1,123
1e-06,4.32229381783682e-06,0,0,0,10,10,1,1,124
1e-06,4.54090961097247e-06,0,0,0,10,10,1,1,125
1e-06,4.77058269614393e-06,0,0,0,10,10,1,1,126
1e-06,5.01187233627272e-06,0,0,0,10,10,1,1,127
1e-06,5.26536608104486e-06,0,0,0,10,10,1,1,128
1e-06,5.53168119761723e-06,0,0,0,10,10,1,1,129
1e-06,5.81146617368716e-06,0,0,0,10,10,1,1,130
1e-06,6.10540229658533e-06,0,0,0,10,10,1,1,131
1e-06,6.41420531223692e-06,0,0,0,10,10,1,1,132
1e-06,6.73862716803095e-06,0,0,0,10,10,1,1,133
1e-06,7.07945784384137e-06,0,0,0,10,10,1,1,134
1e-06,7.43752727565905e-06,0,0,0,10,10,1,1,135
1e-06,7.81370737651809e-06,0,0,0,10,10,1,1,136
1e-06,8.20891415963826e-06,0,0,0,10,10,1,1,137
1e-06,8.62410996895275e-06,0,0,0,10,10,1,1,138
1e-06,9.06030582245338e-06,0,0,0,10,10,1,1,139
1e-06,9.51856387405862e-06,0,0,0,10,10,1,1,140
1e-06,1e-05,0,0,0,10,10,1,1,141
1.05057865160242e-06,1e-08,0,0,0,10,10,1,1,142
1.05057865160242e-06,1.05057865160242e-08,0,0,0,10,10,1,1,143
1.05057865160242e-06,1.10371550320276e-08,0,0,0,10,10,1,1,144
1.05057865160242e-06,1.15953994510744e-08,0,0,0,10,10,1,1,145
1.05057865160242e-06,1.21818791201011e-08,0,0,0,10,10,1,1,146
1.05057865160242e-06,1.27980221399795e-08,0,0,0,10,10,1,1,147
1.05057865160242e-06,1.34453288429976e-08,0,0,0,10,10,1,1,148
1.05057865160242e-06,1.41253754462276e-08,0,0,0,10,10,1,1,149
1.05057865160242e-06,1.48398178896757e-08,0,0,0,10,10,1,1,150
1.05057865160242e-06,1.55903958685609e-08,0,0,0,10,10,1,1,151
1.05057865160242e-06,1.63789370695406e-08,0,0,0,10,10,1,1,152
1.05057865160242e-06,1.72073616211989e-08,0,0,0,10,10,1,1,153
