D,supply,osm_coeff,no_saturation,fast_pseudo,only_P1P2,only_P1C,Keq_1,Keq_2,id
1e-06,1.97916686785356e-07,0,1,1,1,0,1,1,87
1e-06,2.04907468981585e-07,0,1,1,1,0,1,1,88
1e-06,2.12145178491063e-07,0,1,1,1,0,1,1,89
1e-06,2.19638537241655e-07,0,1,1,1,0,1,1,90
1e-06,2.27396575235793e-07,0,1,1,1,0,1,1,91
1e-06,2.35428641432242e-07,0,1,1,1,0,1,1,92
1e-06,2.43744415012222e-07,0,1,1,1,0,1,1,93
1e-06,2.52353917043477e-07,0,1,1,1,0,1,1,94
1e-06,2.61267522556333e-07,0,1,1,1,0,1,1,95
1e-06,2.70495973046314e-07,0,1,1,1,0,1,1,96
1e-06,2.80050389418363e-07,0,1,1,1,0,1,1,97
1e-06,2.89942285388288e-07,0,1,1,1,0,1,1,98
1e-06,3.00183581357559e-07,0,1,1,1,0,1,1,99
1e-06,3.10786618778201e-07,0,1,1,1,0,1,1,100
1e-06,3.21764175025074e-07,0,1,1,1,0,1,1,101
1e-06,3.33129478793467e-07,0,1,1,1,0,1,1,102
1e-06,3.44896226040576e-07,0,1,1,1,0,1,1,103
1e-06,3.57078596490046e-07,0,1,1,1,0,1,1,104
1e-06,3.69691270719502e-07,0,1,1,1,0,1,1,105
1e-06,3.82749447851632e-07,0,1,1,1,0,1,1,106
1e-06,3.96268863870148e-07,0,1,1,1,0,1,1,107
1e-06,4.10265810582719e-07,0,1,1,1,0,1,1,108
1e-06,4.24757155253689e-07,0,1,1,1,0,1,1,109
1e-06,4.39760360930272e-07,0,1,1,1,0,1,1,110
1e-06,4.55293507486695e-07,0,1,1,1,0,1,1,111
1e-06,4.71375313411673e-07,0,1,1,1,0,1,1,112
1e-06,4.88025158365443e-07,0,1,1,1,0,1,1,113
1e-06,5.05263106533568e-07,0,1,1,1,0,1,1,114
1e-06,5.23109930805626e-07,0,1,1,1,0,1,1,115
1e-06,5.41587137807948e-07,0,1,1,1,0,1,1,116
1e-06,5.60716993820546e-07,0,1,1,1,0,1,1,117
1e-06,5.8052255160949e-07,0,1,1,1,0,1,1,118
1e-06,6.01027678207039e-07,0,1,1,1,0,1,1,119
1e-06,6.22257083673023e-07,0,1,1,1,0,1,1,120
1e-06,6.44236350872137e-07,0,1,1,1,0,1,1,121
1e-06,6.66991966303011e-07,0,1,1,1,0,1,1,122
1e-06,6.90551352016233e-07,0,1,1,1,0,1,1,123
1e-06,7.14942898659758e-07,0,1,1,1,0,1,1,124
1e-06,7.40195999691565e-07,0,1,1,1,0,1,1,125
1e-06,7.66341086800746e-07,0,1,1,1,0,1,1,126
1e-06,7.93409666579749e-07,0,1,1,1,0,1,1,127
1e-06,8.21434358491942e-07,0,1,1,1,0,1,1,128
1e-06,8.50448934180267e-07,0,1,1,1,0,1,1,129
1e-06,8.80488358164346e-07,0,1,1,1,0,1,1,130
1e-06,9.11588829975082e-07,0,1,1,1,0,1,1,131
1e-06,9.43787827777539e-07,0,1,1,1,0,1,1,132
1e-06,9.7712415353465e-07,0,1,1,1,0,1,1,133
1e-06,1.01163797976621e-06,0,1,1,1,0,1,1,134
1e-06,1.04737089795945e-06,0,1,1,1,0,1,1,135
1e-06,1.08436596868961e-06,0,1,1,1,0,1,1,136
1e-06,1.12266777351081e-06,0,1,1,1,0,1,1,137
1e-06,1.16232246867985e-06,0,1,1,1,0,1,1,138
1e-06,1.20337784077759e-06,0,1,1,1,0,1,1,139
1e-06,1.24588336429501e-06,0,1,1,1,0,1,1,140
1e-06,1.28989026125331e-06,0,1,1,1,0,1,1,141
1e-06,1.3354515629299e-06,0,1,1,1,0,1,1,142
1e-06,1.38262217376466e-06,0,1,1,1,0,1,1,143
1e-06,1.43145893752348e-06,0,1,1,1,0,1,1,144
1e-06,1.48202070579886e-06,0,1,1,1,0,1,1,145
1e-06,1.53436840893001e-06,0,1,1,1,0,1,1,146
1e-06,1.58856512942805e-06,0,1,1,1,0,1,1,147
1e-06,1.64467617799466e-06,0,1,1,1,0,1,1,148
1e-06,1.7027691722259e-06,0,1,1,1,0,1,1,149
1e-06,1.76291411809595e-06,0,1,1,1,0,1,1,150
1e-06,1.82518349431904e-06,0,1,1,1,0,1,1,151
1e-06,1.88965233969121e-06,0,1,1,1,0,1,1,152
1e-06,1.95639834351706e-06,0,1,1,1,0,1,1,153
1e-06,2.02550193923067e-06,0,1,1,1,0,1,1,154
1e-06,2.09704640132323e-06,0,1,1,1,0,1,1,155
1e-06,2.1711179456945e-06,0,1,1,1,0,1,1,156
1e-06,2.24780583354873e-06,0,1,1,1,0,1,1,157
1e-06,2.32720247896041e-06,0,1,1,1,0,1,1,158
1e-06,2.40940356023953e-06,0,1,1,1,0,1,1,159
1e-06,2.49450813523032e-06,0,1,1,1,0,1,1,160
1e-06,2.58261876068267e-06,0,1,1,1,0,1,1,161
1e-06,2.67384161583994e-06,0,1,1,1,0,1,1,162
1e-06,2.76828663039207e-06,0,1,1,1,0,1,1,163
1e-06,2.86606761694825e-06,0,1,1,1,0,1,1,164
1e-06,2.96730240818887e-06,0,1,1,1,0,1,1,165
1e-06,3.07211299886176e-06,0,1,1,1,0,1,1,166
1e-06,3.18062569279412e-06,0,1,1,1,0,1,1,167
1e-06,3.29297125509715e-06,0,1,1,1,0,1,1,168
1e-06,3.40928506974681e-06,0,1,1,1,0,1,1,169
1e-06,3.52970730273065e-06,0,1,1,1,0,1,1,170
1e-06,3.65438307095726e-06,0,1,1,1,0,1,1,171
1e-06,3.78346261713193e-06,0,1,1,1,0,1,1,172
1e-06,3.91710149080926e-06,0,1,1,1,0,1,1,173
1e-06,4.05546073584083e-06,0,1,1,1,0,1,1,174
1e-06,4.19870708444391e-06,0,1,1,1,0,1,1,175
1e-06,4.34701315812503e-06,0,1,1,1,0,1,1,176
1e-06,4.5005576757005e-06,0,1,1,1,0,1,1,177
1e-06,4.65952566866469e-06,0,1,1,1,0,1,1,178
1e-06,4.82410870416537e-06,0,1,1,1,0,1,1,179
1e-06,4.99450511585514e-06,0,1,1,1,0,1,1,180
1e-06,5.17092024289675e-06,0,1,1,1,0,1,1,181
1e-06,5.35356667741072e-06,0,1,1,1,0,1,1,182
1e-06,5.54266452066311e-06,0,1,1,1,0,1,1,183
1e-06,5.73844164830239e-06,0,1,1,1,0,1,1,184
1e-06,5.94113398496504e-06,0,1,1,1,0,1,1,185
